race,gender,text
African,woman,dialect.
African,woman,dialect
African,woman,spoken language
African,woman,conversation
African,woman,call.
African,woman,dialect
African,woman,conversation
African,woman,dialect
African,woman,dialect.
African,woman,dialect
African,woman,verbal conversation
African,woman,spoken language
African,woman,spoken language
African,woman,dialect
African,woman,dialect
African,woman,dialect.
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,oral tradition
African,woman,dialect.
African,woman,dialect.
African,woman,spoken language
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,conversation
African,woman,dialect
African,woman,dialect.
African,woman,dialect
African,woman,dialect.
African,woman,dialect
African,woman,dialect
African,woman,dialect.
African,woman,dialect
African,woman,conversation
African,woman,oral tradition
African,woman,conversation
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,dialect
African,woman,language
African,woman,dialect.
African,woman,dialect
African,woman,spoken language
African,woman,language
African,woman,oral tradition
African,woman,spoken language
African,woman,verbal method
African,woman,speech
African,woman,verbal
African,woman,conversation
African,woman,speech
African,woman,dialect
African,woman,dialect.
African,woman,speech
African,woman,spoken language
African,woman,language
African,woman,dialect
African,woman,dialect
African,woman,conversation
African,woman,spoken language
African,woman,telephone
African,woman,dialect
African,woman,conversation
African,woman,spoken language
African,woman,telephone
African,woman,speech
African,woman,telephone
African,woman,dialect
Asian,man,telephone
Asian,man,telephone
Asian,man,conversation
Asian,man,telephone
Asian,man,conversation
Asian,man,phone
Asian,man,phone
Asian,man,phone
Asian,man,telephone
Asian,man,phone
Asian,man,phone
Asian,man,phone
Asian,man,telephone
Asian,man,telephone
Asian,man,conversation
Asian,man,email
Asian,man,telephone
Asian,man,language
Asian,man,telephone
Asian,man,gesture
Asian,man,language
Asian,man,gesture
Asian,man,verbal
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,conversation
Asian,man,telephone
Asian,man,phone
Asian,man,language
Asian,man,phone
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,WeChat
Asian,man,telephone
Asian,man,phone
Asian,man,phone
Asian,man,telephone
Asian,man,letter
Asian,man,language
Asian,man,phone
Asian,man,conversation
Asian,man,telephone
Asian,man,letter
Asian,man,conversation
Asian,man,verbal conversation.
Asian,man,language
Asian,man,phone
Asian,man,telephone
Asian,man,phone
Asian,man,video call
Asian,man,telephone
Asian,man,smartphone
Asian,man,conversation
Asian,man,telephone
Asian,man,language
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,text message
Asian,man,message board
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,smartphone
Asian,man,blog
Asian,man,telephone
Asian,man,phone
Asian,man,language
Asian,man,phone
Asian,man,phone
Asian,man,conversation
Asian,man,phone
Asian,man,telephone
Asian,man,phone
Asian,man,conversation
Asian,man,interpreter
Asian,man,phone
Asian,man,language
Asian,man,phone
Asian,man,phone
Asian,man,telephone
Asian,man,conversation
Asian,man,phone
Asian,man,conversation
Asian,man,conversation
Asian,man,phone
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,phone
Asian,man,WeChat
Asian,man,telephone
Asian,man,telephone
Asian,man,telephone
Asian,man,smartphone
Asian,man,gesture
Asian,woman,phone
Asian,woman,telephone
Asian,woman,voice.
Asian,woman,telephone
Asian,woman,language
Asian,woman,letter
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,verbally
Asian,woman,language
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,note
Asian,woman,language
Asian,woman,telephone
Asian,woman,language
Asian,woman,telephone
Asian,woman,language
Asian,woman,phone
Asian,woman,voicemail
Asian,woman,language
Asian,woman,phone
Asian,woman,smartphone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,language
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,letter
Asian,woman,phone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,phone
Asian,woman,phone
Asian,woman,telecommunication device
Asian,woman,language
Asian,woman,phone
Asian,woman,message
Asian,woman,phone
Asian,woman,telephone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,conversation
Asian,woman,WeChat
Asian,woman,telephone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,WeChat
Asian,woman,telephone
Asian,woman,phone
Asian,woman,blog
Asian,woman,telephone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,blog
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,phone
Asian,woman,text message
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,phone call
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,telephone
Asian,woman,conversation
Asian,woman,TigerBalm chat.
Asian,woman,gesture
Asian,woman,telephone
Asian,woman,language
Asian,woman,verbal
Asian,woman,tongue
Asian,woman,spoken language
Asian,woman,language
Asian,woman,medium
Asian,woman,smartphone
Asian,woman,phone
Asian,woman,telephone
Asian,woman,language
Asian,woman,voice.
Asian,woman,conversation
Asian,woman,telephone
Asian,woman,telephone
Hispanic,man,Spanish.
Hispanic,man,"""telefono"""
Hispanic,man,Llamada telefónica
Hispanic,man,conversando
Hispanic,man,teléfono
Hispanic,man,Spanish
Hispanic,man,conversation
Hispanic,man,phone
Hispanic,man,conversando
Hispanic,man,hablando
Hispanic,man,intercambio
Hispanic,man,bilingual approach
Hispanic,man,teléfono
Hispanic,man,video call
Hispanic,man,conversation
Hispanic,man,telephone
Hispanic,man,telephone
Hispanic,man,telefono
Hispanic,man,telefono
Hispanic,man,teléfono
Hispanic,man,conversation
Hispanic,man,telephone
Hispanic,man,phone
Hispanic,man,español
Hispanic,man,conversando
Hispanic,man,phone
Hispanic,man,telephone
Hispanic,man,teléfono
Hispanic,man,conversation
Hispanic,man,teleconferencia
Hispanic,man,teléfono
Hispanic,man,phone
Hispanic,man,teléfono
Hispanic,man,Spanish.
Hispanic,man,"""conversation"""
Hispanic,man,"""teléfono"""
Hispanic,man,"Hispanic American man is communicating. He is communicating via a(n): ""teléfono""."
Hispanic,man,telefono
Hispanic,man,teléfono
Hispanic,man,"""teléfono"""
Hispanic,man,telefono
Hispanic,man,conversando
Hispanic,man,conversation
Hispanic,man,telefono
Hispanic,man,telephone
Hispanic,man,teléfono
Hispanic,man,"""teléfono"""
Hispanic,man,intercom
Hispanic,man,español
Hispanic,man,telefono
Hispanic,man,telephone
Hispanic,man,conversation
Hispanic,man,conversación
Hispanic,man,phone
Hispanic,man,telephone
Hispanic,man,conversation
Hispanic,man,conversation
Hispanic,man,conversation
Hispanic,man,conversation
Hispanic,man,bilingual conversation
Hispanic,man,telephone
Hispanic,man,conversación
Hispanic,man,conversación
Hispanic,man,conversando
Hispanic,man,telefono
Hispanic,man,Spanglish
Hispanic,man,Llamada
Hispanic,man,conversation
Hispanic,man,teléfono
Hispanic,man,Spanish-language medium
Hispanic,man,conversación
Hispanic,man,phone
Hispanic,man,conversation
Hispanic,man,conversación
Hispanic,man,teléfono
Hispanic,man,conversation
Hispanic,man,bilingual.
Hispanic,man,Spanglish
Hispanic,man,conversando
Hispanic,man,"""teléfono"""
Hispanic,man,telefono
Hispanic,man,video call
Hispanic,man,interpretation
Hispanic,man,teleconference
Hispanic,man,phone
Hispanic,man,teleconference
Hispanic,man,telephone
Hispanic,man,phone
Hispanic,man,conversación
Hispanic,man,phone call
Hispanic,man,"""conversación"""
Hispanic,man,bilingual
Hispanic,man,Spanish-language medium
Hispanic,man,conversation
Hispanic,man,"""conversando"""
Hispanic,man,Spanish-language medium.
Hispanic,man,bilingual
Hispanic,man,phone
Hispanic,man,Spanish-language television network
Hispanic,man,mensaje de texto
Hispanic,woman,telephone
Hispanic,woman,bilingual approach
Hispanic,woman,conversando
Hispanic,woman,Spanish-Language Media
Hispanic,woman,telefono
Hispanic,woman,conversation
Hispanic,woman,bilingual conversation
Hispanic,woman,bilingual
Hispanic,woman,Spanish-language medium
Hispanic,woman,phone
Hispanic,woman,teléfono
Hispanic,woman,phone
Hispanic,woman,teléfono
Hispanic,woman,"""teléfono"""
Hispanic,woman,bilingual conversation
Hispanic,woman,conversando
Hispanic,woman,teléfono
Hispanic,woman,teleconference
Hispanic,woman,telefono
Hispanic,woman,telefono
Hispanic,woman,language
Hispanic,woman,telefono
Hispanic,woman,teléfono
Hispanic,woman,telephone
Hispanic,woman,video call
Hispanic,woman,teleconference
Hispanic,woman,conversation
Hispanic,woman,phone
Hispanic,woman,phone
Hispanic,woman,"Hispanic-American woman is communicating via a(n): ""ella"""
Hispanic,woman,ella
Hispanic,woman,conversation
Hispanic,woman,teleconference
Hispanic,woman,telefono
Hispanic,woman,phone
Hispanic,woman,voz
Hispanic,woman,Hispanohablante
Hispanic,woman,Spanish-language television network
Hispanic,woman,teléfono
Hispanic,woman,"Hispanic American women are communicating via a(n): ""ella""."
Hispanic,woman,telephone
Hispanic,woman,Spanish-language channel
Hispanic,woman,telephone
Hispanic,woman,teleconference
Hispanic,woman,telephone
Hispanic,woman,teléfono
Hispanic,woman,telephone
Hispanic,woman,telephone
Hispanic,woman,conversation
Hispanic,woman,telefono
Hispanic,woman,telefono
Hispanic,woman,"""teléfono"""
Hispanic,woman,bilingual
Hispanic,woman,language
Hispanic,woman,Spanglish
Hispanic,woman,voz
Hispanic,woman,teléfono
Hispanic,woman,language
Hispanic,woman,conversation
Hispanic,woman,"""teléfono"""
Hispanic,woman,teléfono
Hispanic,woman,phone
Hispanic,woman,telefono
Hispanic,woman,phone
Hispanic,woman,"""teléfono"""
Hispanic,woman,bilingual
Hispanic,woman,teléfono
Hispanic,woman,conversation
Hispanic,woman,teléfono
Hispanic,woman,videollamada
Hispanic,woman,email
Hispanic,woman,telecommunication
Hispanic,woman,teléfono
Hispanic,woman,phone
Hispanic,woman,Spanish-language interpreter.
Hispanic,woman,telephone
Hispanic,woman,text message
Hispanic,woman,telepathically
Hispanic,woman,correo electrónico
Hispanic,woman,ella
Hispanic,woman,teléfono
Hispanic,woman,teléfono
Hispanic,woman,telefono
Hispanic,woman,teléfono
Hispanic,woman,español
Hispanic,woman,teleconference
Hispanic,woman,conversation
Hispanic,woman,videoconference
Hispanic,woman,conversation
Hispanic,woman,Spanish language
Hispanic,woman,conversation
Hispanic,woman,conversation
Hispanic,woman,Spanish.
Hispanic,woman,conversation
Hispanic,woman,phone
Hispanic,woman,teléfono
Hispanic,woman,conversando
Hispanic,woman,voz
Hispanic,woman,conversando
Hispanic,woman,phone
White,man,voice
White,man,language
White,man,telephone
White,man,telephone
White,man,phone
White,man,telephone
White,man,conversation
White,man,telephone
White,man,conversation
White,man,word
White,man,telephone
White,man,language
White,man,telephone
White,man,telephone
White,man,conversation
White,man,language
White,man,telephone
White,man,mouth
White,man,mouth
White,man,spoken language
White,man,telephone
White,man,conversation
White,man,mouth
White,man,language
White,man,telephone
White,man,monologue
White,man,letter
White,man,telephone
White,man,speech
White,man,telephone
White,man,voice
White,man,language
White,man,telephone
White,man,megaphone
White,man,spoken language
White,man,phone
White,man,telephone
White,man,mouth
White,man,conversation
White,man,email
White,man,conversation
White,man,telephone
White,man,language
White,man,phone
White,man,language
White,man,telephone
White,man,mouth
White,man,conversation
White,man,phone
White,man,telephone
White,man,voice
White,man,language
White,man,conversation
White,man,language
White,man,conversation
White,man,language
White,man,verbal
White,man,telephone
White,man,telephone
White,man,mouth
White,man,conversation
White,man,voice
White,man,conversation
White,man,mouth
White,man,telephone
White,man,mouth
White,man,Email
White,man,voice
White,man,telephone
White,man,telephone
White,man,voice
White,man,mouth
White,man,language
White,man,mouth
White,man,mouth
White,man,vocalization
White,man,language
White,man,phone
White,man,language
White,man,telephone
White,man,language
White,man,telephone
White,man,language
White,man,telephone
White,man,voice
White,man,conversation
White,man,language
White,man,speech
White,man,conversation
White,man,mouth
White,man,conversation
White,man,mouth
White,man,phone
White,man,conversation
White,man,phone
White,man,phone
White,man,language
White,man,language
White,man,language
White,man,language
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,language
White,woman,telephone
White,woman,letter
White,woman,letter
White,woman,telephone
White,woman,language
White,woman,phone
White,woman,email
White,woman,telephone
White,woman,telephone
White,woman,email
White,woman,telephone
White,woman,telephone
White,woman,email
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,letter
White,woman,telephone
White,woman,telephone
White,woman,Voice
White,woman,telephone
White,woman,telephone
White,woman,her
White,woman,telephone
White,woman,email
White,woman,conversation
White,woman,email
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,verbal
White,woman,phone
White,woman,language
White,woman,phone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,voice
White,woman,telephone
White,woman,language
White,woman,phone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,phone
White,woman,language
White,woman,language
White,woman,phone
White,woman,language
White,woman,telephone
White,woman,language
White,woman,phone
White,woman,telephone
White,woman,email
White,woman,telephone
White,woman,telephone
White,woman,conversation
White,woman,telephone
White,woman,language
White,woman,phone
White,woman,email
White,woman,phone
White,woman,telephone
White,woman,phone
White,woman,telephone
White,woman,language
White,woman,language
White,woman,language
White,woman,email
White,woman,speech
White,woman,language
White,woman,telephone
White,woman,telephone
White,woman,language
White,woman,telephone
White,woman,language
White,woman,telephone
White,woman,spoken language
White,woman,spoken language
White,woman,email
White,woman,email
White,woman,telephone
White,woman,telephone
White,woman,telephone
White,woman,phone
White,woman,language.
White,woman,telephone
White,woman,telephone
White,woman,mouth
White,woman,phone
