name,African.American,Asian,Hispanic,white,a.man,a.woman,pctwhite,pcthispanic,pctblack,pctapi,race,distinct,pct_f,gender
Amy,2.663678372,2.493874293,2.294952977,3.51375745,1.8792078,3.963627974,95.56,0.992,0.358,2.844,white,0.850079079,0.986415927,F
Ana,2.407897374,2.682990229,3.122425283,3.492401251,NA,NA,23.43,73.249,0.906,2.295,white,0.369975968,0.973759542,F
Anastacia,2.636181157,2.305957493,3.59331315,2.60491616,2.059089965,3.991421167,NA,NA,NA,NA,hispanic,0.957131993,0.977777778,F
Andre,3.331901115,2.131904738,2.676244445,2.923318603,NA,NA,56.928,5.509,33.723,3.339,black,0.408582512,0.016786571,M
Andrea,2.783774862,2.325585636,2.689381343,3.365483197,NA,NA,89.751,4.27,4.911,0.807,white,0.581708335,0.966430436,F
Andreas,2.411613424,2.615941951,3.253881355,2.73897572,3.118757268,2.882298731,95.732,0.61,1.829,1.829,hispanic,0.514905635,0.044585987,M
Andres,2.95934489,2.152004543,3.423466025,2.606513272,NA,NA,12.656,83.817,0.415,2.905,hispanic,0.464121135,0.003976143,M
Andrew,2.602703806,2.540452636,2.318374023,3.473785128,4.158926526,1.927952707,93.212,1.882,1.69,3.07,white,0.871081322,0.001945364,M
Andy,2.103739546,2.351716465,2.345615015,3.806573897,NA,NA,52.793,6.306,1.622,38.559,white,1.454857432,0.001913876,M
Angel,3.096115742,2.574455956,3.446585692,2.936800648,NA,NA,22.635,69.144,3.716,4.279,hispanic,0.35046995,0.698215906,F
Angela,2.676299143,2.369191253,3.165895799,3.448514273,NA,NA,85.619,4.851,7.167,1.975,white,0.282618475,0.985163949,F
Angelia,2.930051493,2.238680296,3.226184723,3.211538418,2.01266002,4.443082926,74,4,20,1,hispanic,0.014646305,0.986979167,F
Angelica,2.885902997,2.41960999,3.066889243,3.252769907,NA,NA,24.724,71.302,0.442,3.311,white,0.185880664,0.970515971,F
Angelina,2.65383079,2.505865756,3.516213556,3.261744993,2.039222063,4.215434529,50.342,34.247,3.425,10.959,hispanic,0.254468563,0.967987805,F
Angelita,2.908855406,2.287390252,3.736204294,2.64743234,NA,NA,16.279,39.535,4.651,38.372,hispanic,0.827348888,0.981481481,F
Angelo,2.387012759,1.981730254,3.791530624,2.698987038,NA,NA,84.774,10.494,3.086,1.44,hispanic,1.092543586,0.019441069,M
Angie,2.596804846,2.442582408,2.708105406,3.639305513,NA,NA,77.573,10.29,2.639,9.499,white,0.931200107,0.981464319,F
Anita,2.685763507,2.390485489,2.864225434,2.887003364,2.301638442,4.200632124,76.835,6.64,7.738,8.288,white,0.02277793,0.987648673,F
Ann,2.732125753,2.626519091,2.548551897,3.780463534,NA,NA,94.855,0.912,1.573,2.446,white,1.048337781,0.991283917,F
Anna,2.644173274,2.510246525,2.78916426,3.747658656,NA,NA,84.762,7.439,2.211,5.378,white,0.958494396,0.980655605,F
Annette,2.967344533,2.179381476,2.583157705,3.52151234,NA,NA,82.37,6.135,9.708,1.549,white,0.554167807,0.987434757,F
Annie,2.599093482,2.630586989,2.642488703,3.450972547,2.116789806,3.875130001,44.954,3.517,30.887,20.031,white,0.808483843,0.986419877,F
Anthony,2.909958813,2.317392824,3.041386772,3.18780882,4.155347243,2.072197815,84.161,5.099,7.199,3.154,white,0.146422048,0.002427565,M
Antoine,3.362854645,2.165941267,3.012626777,2.764374825,NA,NA,53.846,2.885,40.385,2.885,black,0.350227868,0.006465517,M
Antoinette,3.038503174,2.069047008,2.64800711,2.939964688,1.710253128,NA,76.238,5.941,15.446,1.584,black,0.098538486,0.977319588,F
Antonia,2.8132541,1.955914167,3.636531145,2.391643603,NA,NA,42.491,47.253,5.495,3.663,hispanic,0.823277044,0.833619211,F
Antonio,2.693812428,2.161907559,3.616592982,2.67228119,NA,NA,31.603,56.336,5.242,6.616,hispanic,0.922780555,0.003698657,M
April,2.601439071,2.275171167,2.384621507,4.072961311,2.151244811,4.356083751,88.448,2.708,6.739,1.685,white,1.47152224,0.984716381,F
Araceli,2.669971222,2.393905805,3.021490868,2.136826322,NA,NA,8.901,84.817,0,5.759,hispanic,0.351519646,0.933333333,F
Archie,2.046415209,2.04490716,2.24342064,3.531402752,NA,NA,63.433,2.239,29.104,2.985,white,1.287982112,0.011627907,M
Ariel,2.43480278,2.73921379,2.732008106,3.692845048,NA,NA,45.699,40.86,2.151,11.29,white,0.953631258,0.838349097,F
Arlene,2.416525367,2.053362171,2.247172273,3.593334781,NA,NA,84.852,4.67,5.581,4.67,white,1.176809414,0.98973607,F
Armando,2.416253802,2.134543802,3.742325771,2.141416659,NA,NA,9.838,84.06,0.249,5.729,hispanic,1.326071969,0.006116208,M
Arnold,2.398136593,2.100475467,2.250397446,3.621794161,NA,NA,78.211,7.48,7.317,6.992,white,1.223657569,0.001470588,M
Arnulfo,2.566390105,2.246804913,3.773992028,2.019514508,NA,NA,2.041,89.796,0,8.163,hispanic,1.207601923,0,M
Arthur,2.960273487,2.471803323,2.369686114,3.464110387,NA,NA,83.115,6.168,7.099,3.377,white,0.503836901,0.004340963,M
Arturo,2.657664262,2.101179956,3.537345914,2.405086658,NA,NA,7.972,87.133,0,4.755,hispanic,0.879681652,0.009404389,M
Asha,3.277944825,2.943994482,2.541578245,2.405965375,2.673026457,3.520891955,19.512,0,8.537,71.951,black,0.333950343,0.96969697,F
Ashley,2.624968164,2.17463373,2.214318077,3.826751365,NA,NA,93.699,1.629,3.601,0.986,white,1.2017832,0.942006152,F
Audrey,2.476135332,2.020181699,2.309241699,3.800717226,NA,NA,84.722,1.786,10.714,2.381,white,1.324581894,0.975079114,F
Aurora,3.062061398,2.404765708,2.681532574,2.728657086,NA,NA,25.98,50.98,2.451,20.588,black,0.333404312,0.954081633,F
Austin,2.334206174,2.170451059,2.122261695,3.697036486,NA,1.893785421,89.086,0.254,5.076,5.076,white,1.362830312,0.024767225,M
Ayanna,3.344687526,2.69846755,2.777277297,2.878353144,2.081828966,3.927564665,0,0,100,0,black,0.466334382,0.963636364,F
Barbara,2.8311757,2.304885208,2.314124709,3.77937876,NA,NA,93.068,1.626,4.551,0.583,white,0.94820306,0.989520958,F
Barry,2.678474878,2.265920413,2.391953811,3.377682495,NA,NA,95.149,0.596,2.903,1.034,white,0.699207617,0.004546143,M
Beatrice,2.938365999,2.261968094,2.635052462,3.287782022,NA,NA,61.957,14.13,19.293,3.804,white,0.349416024,0.984347826,F
Beatriz,2.822548137,2.102626507,3.076414708,2.914261529,1.825634307,4.002544761,16.479,79.026,0.749,3.745,hispanic,0.162153179,0.957446809,F
Becky,2.574718336,2.229364378,2.258382532,3.863291796,2.092830931,3.936499811,93.498,2.081,0.78,3.511,white,1.28857346,0.990589711,F
Belinda,2.489578605,1.83215808,2.777204771,3.432212748,NA,NA,70.295,10.148,14.207,4.613,white,0.655007977,0.98624011,F
Ben,2.61745914,2.264727397,1.980412861,3.804282864,NA,NA,77.129,3.312,3.628,15.615,white,1.186823724,0.007560137,M
Benito,2.292276795,2.232837041,3.571525072,2.449903015,NA,NA,8.824,80.147,0.735,10.294,hispanic,1.121622056,0,M
Benjamin,2.659908318,2.411723177,2.375827901,3.574744902,4.250801538,2.25716776,85.184,6.876,2.906,4.679,white,0.914836584,0.001402431,M
Bennie,2.726477325,2.303452178,2.737304187,3.36371857,NA,NA,61.486,4.73,32.432,0.676,white,0.626414384,0.116214335,M
Benny,2.732647624,2.237376303,2.473176297,3.687840665,NA,NA,61.611,9.005,5.687,21.327,white,0.955193041,0.009607686,M
Benson,3.055387434,2.130552893,2.176234586,3.12818485,4.01932898,2.347651759,40.426,0,6.383,53.191,white,0.072797416,0.007575758,M
Bernadette,2.648999065,1.968243363,2.195139395,3.580201465,NA,NA,75,8.482,8.929,6.845,white,0.931202399,0.986666667,F
Bernard,3.027426874,2.266627096,2.396476993,3.377130186,NA,NA,84.486,1.768,10.209,3.376,white,0.349703311,0.002497324,M
Bernardo,2.466132356,2.0573952,3.814537494,2.135430597,NA,NA,9.023,72.18,2.256,16.541,hispanic,1.348405138,0.02970297,M
Bernice,2.857003058,1.854879639,2.315872137,3.093905204,NA,NA,65.204,5.956,26.332,2.508,white,0.236902147,0.9211016,F
Bertha,2.752008637,1.94608198,2.504656913,3.087544284,NA,NA,25.285,61.503,12.073,0.911,white,0.335535647,0.989556136,F
Beth,2.603803171,2.244752747,2.49068393,3.830379537,NA,NA,98.566,0.518,0.358,0.438,white,1.226576366,0.986070381,F
Betty,2.454667151,1.938560591,2.275406436,3.750384237,NA,NA,82.296,2.957,10.47,3.965,white,1.295717087,0.991606671,F
Beverly,2.707711843,2.078029225,2.198675645,3.79777341,NA,NA,87.855,1.535,9.142,1.134,white,1.090061567,0.979400211,F
Bianca,3.030293786,2.503917555,3.402382576,2.967651315,NA,NA,58.407,34.513,6.195,0.885,hispanic,0.37208879,0.966312057,F
Bibi,2.841756444,2.95902097,2.188648593,2.552105728,3.01491855,3.184573635,33.333,5.556,3.704,53.704,asian,0.117264525,0.930232558,F
Bill,2.880108577,2.050123866,1.986960542,3.7497479,NA,NA,83.898,2.712,2.712,10.339,white,0.869639323,0.000985222,M
Billy,2.514761082,2.233091257,2.190345366,3.8713186,NA,NA,84.301,2.983,7.849,4.003,white,1.356557518,0.006037049,M
Blanca,2.743947825,2.140141329,3.359682347,2.439498917,NA,NA,7.975,91.207,0.204,0.613,hispanic,0.615734522,0.958868895,F
Bo,2.762248039,2.466593598,2.252068255,3.291064838,NA,NA,24.627,0,0,73.881,white,0.528816799,0.217741935,M
Bob,2.610646235,2.038209892,2.322095363,3.720522443,NA,NA,85.547,1.172,2.734,10.156,white,1.109876208,0.007978723,M
Bobbie,2.625548445,2.073162886,2.260680946,3.86229738,NA,NA,80.835,1.72,15.725,0.491,white,1.236748935,0.874572051,F
Bobby,2.795209949,2.30020987,2.555247312,3.68455396,NA,NA,78.122,2.923,13.729,4.252,white,0.889344012,0.017371085,M
Bonnie,2.573167172,2.248745118,2.29894427,3.754677112,NA,NA,96.683,0.803,1.047,1.327,white,1.181509939,0.979750212,F
Brad,2.61607933,2.208001031,2.197000265,3.668239885,3.896577808,2.084074441,97.908,0.349,0.976,0.349,white,1.052160556,0,M
Bradley,2.449369391,2.329052864,2.317355378,3.774538318,4.14949921,NA,98.867,0.221,0.193,0.525,white,1.325168927,0.00392362,M
Brandi,2.968378608,2.271472957,2.377170231,3.588657586,2.143776778,3.877103161,90.875,2.607,5.773,0.372,white,0.620278978,0.980163361,F
Brandon,2.783370124,2.252896239,2.382319816,3.641623474,NA,NA,91.981,1.678,3.767,2.126,white,0.858253351,0.006781577,M
Brandy,2.751340764,2.285448283,2.418265922,3.511383338,NA,NA,90.716,3.482,3.482,0.967,white,0.760042575,0.973652695,F
Brenda,2.718924869,2.223512416,2.297956636,3.60170202,NA,NA,84.464,4.886,9.126,1.114,white,0.882777152,0.989108682,F
Brent,2.475957294,1.997917155,2.100653663,3.89763822,4.461313622,2.137200032,97.249,0.806,0.996,0.712,white,1.421680925,0.003953871,M
Brett,2.37501024,2.124438784,2.22030404,3.783956226,4.111864992,2.211525121,98.36,0.359,0.871,0.256,white,1.408945986,0.032147743,M
Brian,2.865536831,2.320814485,2.235172636,3.843261133,NA,NA,96.182,0.716,1.338,1.59,white,0.977724302,0.001971206,M
Bridgette,2.598607862,2.199354143,2.414421699,3.747943403,NA,NA,72.308,2.308,23.846,0.769,white,1.149335541,0.98256538,F
Brittany,2.510638069,2.192810466,2.274464286,3.906268376,1.682887891,4.069550731,95.079,0.703,3.339,0.879,white,1.395630307,0.975385048,F
Brooke,2.455637831,2.102004095,2.414572697,3.693376105,NA,NA,97.312,0.672,1.344,0.403,white,1.237738274,0.964179104,F
Bruce,2.360944756,2.370695266,2.020124871,3.574644816,NA,NA,95.568,0.617,2.113,1.384,white,1.20394955,0.004772394,M
Bryan,2.736321838,2.082929786,1.982963662,3.729075552,NA,NA,93.625,1.356,2.116,2.821,white,0.992753714,0.003190156,M
Bryant,2.556262233,2.21594015,2.186037608,3.488694983,NA,NA,73.262,4.278,15.508,6.952,white,0.93243275,0.00665779,M
Byron,3.25794551,2.213584177,2.379033356,3.104909049,4.176104518,1.800899724,77.419,6.961,11.375,4.075,black,0.15303646,0.005387931,M
Calvin,2.978059209,2.213916833,1.96264076,3.258650306,4.299237381,NA,58.611,0.668,25.768,14.686,white,0.280591097,0.004306126,M
Cameron,2.914116985,2.328162576,2.458269029,3.566049515,NA,NA,94.937,0.542,2.532,1.627,white,0.651932531,0.147016312,M
Candace,2.88988289,1.991663479,2.470952774,3.544428493,NA,NA,90.773,0.748,7.107,1.122,white,0.654545604,0.97865353,F
Candice,2.547975104,2.158170575,2.281091161,3.537346786,NA,NA,86.778,2.607,6.145,3.724,white,0.989371682,0.981051817,F
Candy,2.585513205,2.218077355,2.175214421,3.422128119,NA,NA,86.473,5.314,2.899,4.831,white,0.836614914,0.991957105,F
Carl,3.036988306,2.053039715,2.580591525,3.666628995,NA,NA,90.331,0.978,6.935,1.41,white,0.62964069,0.004017638,M
Carla,2.825091468,2.472235338,3.205740079,3.253676321,1.773145718,NA,86.366,4.991,7.912,0.426,white,0.047936242,0.983555556,F
Carlos,2.474215072,2.035528363,3.866972727,2.486277417,4.065196664,1.935379273,13.352,82.705,1.73,2.041,hispanic,1.380695309,0.006436663,M
Carlton,3.231272383,2.095747203,2.23247971,3.081017734,3.965639894,NA,69.039,1.068,28.826,1.068,black,0.150254649,0.006366723,M
Carmelita,2.446561477,2.194820582,4.014192109,2.463268988,2.427359332,4.306865682,27.632,13.158,9.211,48.684,hispanic,1.550923121,0.983050847,F
Carmen,2.527003443,2.238441045,3.628711528,2.731482097,2.290765888,3.76685559,41.099,51.016,5.018,2.688,hispanic,0.897229432,0.939307186,F
Carol,2.646798838,2.398713196,2.292675668,3.785513402,NA,NA,94.481,1.446,2.561,1.258,white,1.138714564,0.983719732,F
Carolina,2.690866396,2.158454055,3.084224705,3.433368757,NA,NA,23.967,64.876,1.24,9.917,white,0.349144052,0.955908289,F
Caroline,2.600017617,2.292242233,2.232030787,3.745026537,NA,NA,89.482,2.948,2.869,4.303,white,1.14500892,0.975753494,F
Carolyn,2.547328526,2.299006773,2.264750366,3.861502959,NA,NA,89.429,1.364,7.928,1.066,white,1.314174432,0.988342139,F
Carrie,2.354690942,2.232565066,2.547981251,3.568407807,NA,NA,95.22,1.048,2.264,1.216,white,1.020426556,0.981325999,F
Cary,2.525856598,2.326701554,2.163599638,3.631833755,NA,NA,90.78,1.418,2.128,4.965,white,1.105977156,0.239543726,M
Casey,2.571962241,2.188586003,2.33301014,3.832261171,NA,NA,95.317,0.607,1.561,2.342,white,1.26029893,0.536666667,F
Cassandra,2.843100182,2.318801548,2.928214536,3.00180629,1.601158432,3.827135357,75.725,2.748,20,1.527,white,0.073591754,0.982016091,F
Catherine,2.701847497,2.283201378,2.359589338,3.439307799,2.020352911,4.081743656,93.319,1.555,2.341,2.563,white,0.737460302,0.984072022,F
Cathy,2.424387758,2.244676301,2.20691393,3.825165055,1.476104083,4.311866737,91.756,2.047,3.071,2.909,white,1.400777298,0.987709326,F
Cecil,2.899725028,2.343832113,2.483906489,3.199795394,NA,NA,79.141,1.534,17.485,1.534,white,0.300070367,0.019169329,M
Cecilia,2.607371932,2.437000411,3.307035152,3.071979869,1.756039913,4.62627512,48.011,37.358,2.273,12.074,hispanic,0.235055283,0.983594333,F
Cedric,3.378642203,2.178182894,2.439010509,2.639298128,3.818364438,1.986005946,27.273,0,62.121,9.091,black,0.739344076,0.00204499,M
Celeste,2.947644835,2.3588735,2.584221396,3.172318008,NA,NA,83.463,5.943,5.943,4.393,white,0.224673173,0.970760234,F
Celia,2.879976894,2.263446593,3.248090359,3.06458717,2.127259463,4.205115667,51.275,40.793,2.833,4.816,hispanic,0.183503189,0.979280262,F
Celina,2.656522627,2.340875098,3.298413394,2.615580217,NA,NA,36,57.333,2.667,4,hispanic,0.641890767,0.968553459,F
Cesar,2.368771323,2.29204159,3.562676538,2.482997221,NA,NA,7.048,83.847,0.147,8.957,hispanic,1.079679317,0.004273504,M
Chad,2.592978757,2.236516144,2.220734177,3.873564331,4.259451762,2.004424087,97.716,0.444,0.793,0.825,white,1.280585574,0.002288732,M
Chandra,3.412535413,2.2712352,2.52915279,2.43566057,NA,4.14189687,57.216,1.031,12.371,28.866,black,0.883382624,0.955345061,F
Charlene,2.724181191,2.121155411,2.231473006,3.794894018,NA,NA,86.21,1.595,9.568,2.064,white,1.070712827,0.986241057,F
Charles,2.942334916,2.200843317,2.320363208,3.523887173,4.052201367,2.154281732,91.379,1.23,5.547,1.494,white,0.581552257,0.002208068,M
Charlie,2.845450157,2.522582921,2.350884418,3.70673554,NA,NA,54.372,7.104,23.224,15.027,white,0.861285383,0.036738564,M
Charlotte,2.762661424,2.311775155,2.274413249,3.658651807,NA,NA,89.495,1.363,6.897,1.363,white,0.895990383,0.98988764,F
Chelsea,2.64359792,2.21553331,2.427223519,3.757770207,NA,NA,95,1.538,1.154,2.308,white,1.114172286,0.969407734,F
Cherry,2.881324742,2.409526748,2.403757227,3.078404665,NA,NA,63.529,1.176,11.765,20,white,0.197079924,0.956521739,F
Cheryl,2.703415302,2.087142581,2.438340442,3.777830837,NA,NA,92.764,0.659,5.224,1.099,white,1.074415535,0.987113184,F
Chester,2.585306682,2.180249672,2.427233743,3.758827155,NA,NA,85.714,0.739,8.867,4.187,white,1.173520474,0.0058102,M
Chong,2.106002965,3.432302015,2.189252484,2.447446081,3.520920499,2.810751315,8.228,1.266,0.633,88.608,asian,0.984855934,0.656410256,F
Chris,2.97436018,2.606242442,2.257080834,3.477448501,NA,NA,91.68,2.2,1.6,4.28,white,0.503088321,0.083696329,M
Christian,2.550946227,2.342067019,3.327765188,3.121647606,3.547767113,2.705575359,85.064,10.794,1.833,1.969,hispanic,0.206117582,0.14486847,M
Christina,2.6286746,2.515180369,3.057796582,3.555841067,NA,NA,88.524,6.349,1.773,2.947,white,0.498044485,0.979400016,F
Christine,2.489276248,2.437409153,2.512403409,3.847879917,NA,NA,93.444,1.904,1.386,3.097,white,1.335476508,0.984090109,F
Christopher,3.105867448,2.305437942,2.314888807,3.735499762,NA,NA,94.544,1.786,1.998,1.401,white,0.629632315,0.00249882,M
Christy,2.362043041,2.514635716,2.554743424,3.698992435,NA,NA,94.651,1.242,1.146,2.674,white,1.144249011,0.982124512,F
Chuck,2.663355216,2.125624141,2.105838789,3.835237406,NA,NA,80,0.87,0.87,17.391,white,1.171882191,0,M
Cindy,2.523117881,2.451549839,2.233277188,3.704960452,NA,NA,89.747,3.343,0.854,5.906,white,1.181842571,0.982959102,F
Clara,2.537551658,2.268444283,2.796665899,3.540637336,NA,NA,60.233,20.233,14.884,4.651,white,0.743971437,0.987247609,F
Clarence,3.128251686,2.187510928,2.222838651,3.269010698,3.624949427,2.510469897,67.129,0.416,27.462,4.438,white,0.140759012,0.002939255,M
Claudia,2.735198079,2.382031665,2.729598636,3.246063041,1.842784346,NA,64.054,30.784,3.697,1.02,white,0.510864962,0.978142077,F
Clayton,3.015875892,2.184297971,2.115424149,3.324199147,NA,NA,93.613,0.336,2.689,2.689,white,0.308323256,0.005524862,M
Cleveland,3.047206774,2.110487011,2.107847105,2.617654057,NA,NA,37.209,0,60.465,2.326,black,0.429552718,0.005340454,M
Clifford,2.87721031,2.084535256,2.08790712,3.280403717,NA,NA,90.561,0.255,5.782,3.316,white,0.403193407,0.003958258,M
Clifton,3.002864598,2.267490282,2.252125,3.463425849,NA,NA,74.928,0.865,20.749,2.305,white,0.460561251,0.003292723,M
Clinton,3.044823843,2.111519268,2.099616566,3.720499679,NA,NA,88.218,0.604,9.215,1.813,white,0.675675836,0.003742204,M
Clyde,3.052260003,2.042721809,1.977962518,3.602432129,NA,NA,83.23,1.035,11.801,3.313,white,0.550172126,0.01744186,M
Cody,2.433086933,2.313817532,2.222817675,3.723832168,NA,NA,96.781,0.604,1.207,1.006,white,1.290745236,0.028907398,M
Colleen,2.515526478,2.32711084,2.254213276,3.538640687,NA,NA,97.789,0.592,0.711,0.671,white,1.023114209,0.982905983,F
Connie,2.58688184,2.52498157,2.469941143,3.673970098,NA,NA,89.976,3.236,2.013,4.578,white,1.087088257,0.9484079,F
Consuelo,1.970658986,2.119116674,3.854378397,2.088188844,3.210997382,NA,14.286,75.824,1.648,8.242,hispanic,1.735261722,0.976744186,F
Corey,2.878538151,2.306367895,2.571573525,3.500798957,NA,NA,89.42,0.46,8.188,1.288,white,0.622260806,0.053346266,M
Corina,3.068285288,2.535808427,3.127029152,2.887045704,2.189793122,4.088777177,60,35.652,1.739,2.609,hispanic,0.058743864,0.966101695,F
Cornelius,3.079906772,2.147788927,2.53995495,2.980578884,NA,1.860450588,68.613,1.46,29.197,0.73,black,0.099327888,0.021645022,M
Cornell,3.087308207,2.301636625,2.360588062,3.031657604,3.855989069,2.158816856,27.027,5.405,64.865,0,black,0.055650603,0.063400576,M
Cory,2.792875126,2.407731722,2.201633908,3.558375864,NA,NA,94.566,0.627,2.821,1.776,white,0.765500738,0.054866592,M
